Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12
1/29/2020,14:31:43,769,123,79,80,77,77,79,79,77,77,82,77,78,80
1/29/2020,14:31:43,965,124,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:44,169,125,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:44,366,126,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:44,565,127,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:44,765,128,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:44,965,129,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:45,165,130,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:45,364,131,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:45,568,132,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:45,767,133,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:45,966,134,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:46,165,135,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:46,366,136,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:46,566,137,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:46,765,138,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:46,966,139,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:47,166,140,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:47,368,141,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:47,565,142,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:47,769,143,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:47,973,144,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:48,168,145,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:48,365,146,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:48,565,147,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:48,765,148,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:48,969,149,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:49,165,150,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:49,365,151,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:49,568,152,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:49,764,153,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:49,965,154,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:50,168,155,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:50,365,156,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:50,565,157,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:50,768,158,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:50,965,159,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:51,168,160,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:51,365,161,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:51,568,162,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:51,765,163,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:51,965,164,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:52,165,165,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:52,365,166,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:52,565,167,79,79,76,77,79,79,76,77,82,77,78,79
1/29/2020,14:31:52,768,168,78,79,76,77,78,79,75,76,81,77,77,79
1/29/2020,14:31:52,959,169,78,79,76,77,77,78,72,75,81,76,77,79
1/29/2020,14:31:53,160,170,79,79,76,77,80,80,75,75,82,77,78,79
1/29/2020,14:31:53,362,171,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:53,565,172,79,80,77,77,80,80,76,77,82,77,78,80
1/29/2020,14:31:53,767,173,79,79,77,77,79,80,76,77,82,77,78,80
1/29/2020,14:31:53,967,174,77,79,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:54,165,175,118,79,77,77,79,79,77,77,82,77,78,80
1/29/2020,14:31:54,368,176,144,78,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:54,564,177,153,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:54,765,178,138,82,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:54,964,179,89,84,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:55,172,180,104,87,77,77,80,80,79,78,83,78,78,80
1/29/2020,14:31:55,364,181,136,88,77,78,80,80,80,78,83,78,78,80
1/29/2020,14:31:55,566,182,79,87,76,77,79,79,77,77,82,77,78,80
1/29/2020,14:31:55,765,183,76,85,75,76,79,79,78,76,82,77,77,79
1/29/2020,14:31:55,962,184,77,85,76,76,79,79,77,76,82,77,77,79
1/29/2020,14:31:56,159,185,79,87,77,77,80,80,76,77,82,77,78,80
1/29/2020,14:31:56,361,186,79,87,77,77,80,80,75,77,83,78,78,80
1/29/2020,14:31:56,565,187,80,87,78,77,80,80,75,77,83,78,78,80
1/29/2020,14:31:56,767,188,80,88,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:56,966,189,79,87,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:57,167,190,83,87,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:57,365,191,80,87,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:57,566,192,79,87,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:57,766,193,79,87,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:57,968,194,79,87,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:58,165,195,79,86,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:58,367,196,79,86,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:58,567,197,80,114,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:58,769,198,80,163,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:58,965,199,80,135,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:59,165,200,79,91,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:59,366,201,79,85,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:31:59,565,202,79,85,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:31:59,766,203,79,84,77,78,80,80,77,77,82,77,78,80
1/29/2020,14:31:59,966,204,79,84,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:00,167,205,79,84,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:00,367,206,79,84,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:00,566,207,80,83,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:00,767,208,79,83,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:00,968,209,79,83,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:01,169,210,79,83,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:01,365,211,79,83,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:01,565,212,80,82,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:01,766,213,79,82,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:01,965,214,79,82,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:02,165,215,79,82,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:02,365,216,79,82,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:02,572,217,79,82,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:02,768,218,79,82,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:02,965,219,80,81,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:03,168,220,79,81,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:03,365,221,79,81,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:03,565,222,79,81,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:03,766,223,80,81,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:03,965,224,80,81,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:04,166,225,79,81,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:04,366,226,79,81,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:04,566,227,79,81,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:04,768,228,79,81,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:04,966,229,79,81,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:05,164,230,79,81,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:05,368,231,79,81,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:05,568,232,79,81,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:05,765,233,80,81,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:05,965,234,80,81,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:06,165,235,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:06,365,236,80,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:06,565,237,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:06,765,238,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:06,965,239,80,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:07,165,240,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:07,366,241,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:07,565,242,80,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:07,765,243,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:07,965,244,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:08,167,245,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:08,365,246,79,86,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:08,566,247,79,107,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:08,765,248,79,104,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:08,966,249,80,101,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:09,168,250,80,104,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:09,367,251,81,89,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:09,566,252,102,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:09,774,253,101,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:09,964,254,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:10,164,255,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:10,365,256,80,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:10,565,257,80,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:10,764,258,80,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:10,965,259,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:11,167,260,79,80,77,77,79,79,77,77,82,77,78,80
1/29/2020,14:32:11,365,261,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:11,566,262,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:11,768,263,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:11,964,264,80,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:12,165,265,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:12,368,266,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:12,566,267,80,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:12,767,268,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:12,966,269,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:13,165,270,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:13,368,271,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:13,566,272,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:13,765,273,79,80,77,78,79,80,77,77,82,77,78,80
1/29/2020,14:32:13,965,274,80,80,77,78,79,80,77,77,82,77,78,80
1/29/2020,14:32:14,164,275,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:14,364,276,80,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:14,565,277,80,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:14,764,278,80,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:14,966,279,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:15,165,280,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:15,366,281,79,80,77,77,80,80,77,77,82,77,78,80
1/29/2020,14:32:15,566,282,79,80,77,77,79,80,77,77,82,77,78,80
1/29/2020,14:32:15,766,283,79,80,77,77,80,80,77,77,82,77,78,80
